Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
23 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3134.9736842105262,1758.2894736842106,18921
4 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,3552.3896103896104,1880.3766233766235,18825
21 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2490.135135135135,1168.2702702702702,18741
31 oct 2023,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1284.2307692307693,255.32692307692307,18715
24 nov 2023,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1169.539534883721,1493.5720930232558,18703
25 abr 2024,CI,San Pedro de la Paz,Ruta 160,null,2976.8285714285716,590.3809523809524,18685
12 feb 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1944.016393442623,934.3688524590164,18671
23 jun 2023,CI,Concepción,Av. Los Carrera,null,1148.3988439306358,532.7341040462428,18662
21 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3159.698630136986,1559.8219178082193,18635
1 sept 2023,CI,Concepción,Av. Paicaví,null,2197.3493975903616,1022.1807228915662,18590
31 ene 2024,CI,Concepción,Av. Alonso de Ribera,null,2876.0266666666666,1149.5333333333333,18566
10 jul 2023,CI,Concepción,Av. Costanera,null,2990.5471698113206,989.6792452830189,18379
31 jul 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2276.225352112676,735.7957746478874,18374
3 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,1563.337837837838,388.94594594594594,18353
12 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,2008.7282608695652,503.67391304347825,18322
1 dic 2023,CI,Hualpén,Ruta 154 / Autopista Concepción-Talcahuano,null,1448.9876543209878,443.4567901234568,18295
2 ago 2023,CI,Concepción,Av. Paicaví,null,2421.575,1620.225,18287
16 ago 2023,CI,Concepción,Av. Alonso de Ribera,null,2571.675,633.55,18164
13 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3699.4363636363637,2963.6363636363635,18106
13 may 2024,CI,San Pedro de la Paz,Ruta 160,null,2814.173076923077,348.03846153846155,18094
18 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2868.56338028169,956.887323943662,18075
31 oct 2023,CI,Concepción,Av. Paicaví,null,1078.0466666666666,545.4866666666667,18065
19 ene 2024,CI,Concepción,Av. Jorge Alessandri,null,2742.2549019607845,363.84313725490193,18059
28 mar 2024,CI,Talcahuano,Autopista Concepción-Talcahuano,null,1038.04,418.6933333333333,18051
27 nov 2023,CI,San Pedro de la Paz,Ruta 160,null,2910.590909090909,1185.3181818181818,17917
23 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,2732.59375,1008.25,17809
28 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,2854.078651685393,1536.808988764045,17756
4 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2168.05,867.47,17720
21 mar 2024,CI,Concepción,Av. Jorge Alessandri,null,2187.86,490.76,17720
7 ago 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2005.0978260869565,908.554347826087,17696
18 abr 2024,CI,Concepción,Av. Los Carrera,null,1075.6046511627908,766.9767441860465,17590
6 may 2024,CI,San Pedro de la Paz,Ruta 160,null,2568.4177215189875,1115.7721518987341,17558
1 sept 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1954.28125,1421.2421875,17142
10 may 2024,CI,Concepción,Av. 21 de Mayo,null,1150.9776119402984,584.7164179104477,17068
16 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,2435.5520833333335,870.0625,17017
25 ago 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2119.872549019608,709.7156862745098,16985
28 sept 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1960.9745762711864,812.8644067796611,16982
12 oct 2023,CI,Concepción,Av. Los Carrera,null,1202.0344827586207,593.0068965517241,16973
12 abr 2024,CI,Concepción,Av. Los Carrera,null,978.6684491978609,766.8021390374331,16954
24 nov 2023,CI,Concepción,Av. Costanera,null,1543.1926605504586,394.70642201834863,16895
7 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2193.3168316831684,828.980198019802,16837
20 oct 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2240.6837606837607,1069.068376068376,16777
4 mar 2024,CI,Concepción,Av. Alonso de Ribera,null,1662.5051546391753,489.10309278350513,16744
14 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2090.8504672897197,799.1869158878504,16739
